book_id,source_file_path,title,chap_regex,year,goodreads,adapted_to_film
BetweenTheActs,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/BetweenTheActs.utf8.txt,BetweenTheActs,^###CHAPTER###$,1941,3.61,no
Flush,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/Flush.utf8.txt,Flush,^(CHAPTER\s+[A-Z]+)\s*$,1933,3.87,no
JacobsRoom,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/JacobsRoom.utf8.txt,JacobsRoom,^CHAPTER\s+[A-Z]+\s*$,1922,3.69,no
MrsDalloway,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/MrsDalloway.utf8.txt,MrsDalloway,^###CHAPTER###$,1925,3.73,yes
NightAndDay,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/NightAndDay.utf8.txt,NightAndDay,^CHAPTER\s+[IVXLCDM]+\s*$,1919,3.75,yes
Orlando,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/Orlando.utf8.txt,Orlando,^CHAPTER\s+\d+\.\s*$,1928,3.86,yes
TheVoyageOut,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/TheVoyageOut.utf8.txt,TheVoyageOut,^Chapter\s+[IVXLCDM]+\s*$,1915,3.75,no
TheWaves,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/TheWaves.utf8.txt,TheWaves,^###CHAPTER###$,1931,4.15,no
TheYears,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/TheYears.utf8.txt,TheYears,^\s*(18|19)\d{2}\s*$,1937,3.77,no
ToTheLighthouse,/Users/lucyshichman/Documents/MSDS/DS5001/final_project/woolf2vec/woolf_novels/utf8/ToTheLighthouse.utf8.txt,ToTheLighthouse,^\s*\d+\s*$,1927,3.78,yes
