topic_id,top_terms,doc_weight_sum,term_freq
T00,committee said sparrows came come,0.7805527701166128,0.0023734143540474115
T01,aback rapid rang bell range ranged,0.022220815202051793,0.0007633191559538651
T02,eyes said face head change,2.013691709898447,0.003181514242015084
T03,boots things come said table,1.297042200020041,0.002194607017661906
T04,said trees eyes light sea,8.53056923636019,0.018424900277452805
T05,audience play thats chuff looked,4.0264975843767274,0.005946417309837118
T06,said say did picture let,1.7030329084594193,0.003589864906097362
T07,kitchen said room cut cat,2.21472708788769,0.002609929738285513
T08,said did man dog silence,2.0971977706779654,0.0027964235462865877
T09,green sun light white blue,4.197652962232029,0.0034731359818463703
T10,said old came time audience,6.756981591949876,0.016350302917438848
T11,aback rapid rang bell range ranged,0.022220815202051793,0.0007633191559538651
T12,trees silver fine pacing red,1.0183598113410424,0.0015510645248981362
T13,light rose sun tree shadows,2.07409555695132,0.001979798995544524
T14,aback rapid rang bell range ranged,0.022220815202051793,0.0007633191559538651
T15,old man flower turned paper,1.01918130152424,0.0017647938885651836
T16,said leaves white eyes tree,3.7050707434398387,0.01366239106044972
T17,read time trees night hand,3.091111613963963,0.005197535441485245
T18,aback rapid rang bell range ranged,0.022220815202051793,0.0007633191559538651
T19,aback rapid rang bell range ranged,0.022220815202051793,0.0007633191559538651
T20,think dont mind time life,19.568031292082715,0.09057172241092022
T21,come let look make moment,10.656986167095383,0.050434243430665666
T22,spaniel door family called dogs,2.7439485236028958,0.008805002881400648
T23,said old did choose felt,1.2021132169388917,0.002073133843261757
T24,letters life wrote street come,0.3705823459653124,0.0021941151681394598
T25,came went dog room dogs,6.760298775352833,0.035284939481768945
T26,said thought little looked did,99.41048725522478,0.65142917643037
T27,life great say woman come,9.110240901673468,0.04891401644427298
T28,darkness sea solitary summer traveller,3.010918570263306,0.0033761018730562925
T29,blew wind lay corn reddened,0.6468653156584833,0.0012074103756867167
T30,said words trees tree grass,3.774952956697121,0.005947606205673638
T31,considering said did yes yes said,0.9388874818687104,0.0007969051988158315
T32,trying deference said trying little man semblance,0.9666652596464906,0.0008152248585587223
T33,aback rapid rang bell range ranged,0.022220815202051793,0.0007633191559538651
T34,bee men inscribed said head,1.0190259270231379,0.0017159414625841224
T35,aback rapid rang bell range ranged,0.022220815202051793,0.0007633191559538651
T36,said little audience pen held,1.0186747159112712,0.0016212898872458733
T37,aback rapid rang bell range ranged,0.022220815202051793,0.0007633191559538651
T38,car aeroplane motor motor car smoke,2.0791533383679415,0.001998392540661886
T39,water felt view head cold,1.0186365858113704,0.0016121300573744394
